name,tweets,followers_count
spotterksdk,129,610
BrestoffLab,0,3
MBAchicblog,3738,557
gayathri25788,4,23
martingandur,3107,358
YoungFriendsSTL,175,17
t_khattab,687,265
cee_maggie,120,10
mindyhorwitz,4,15
LadyTigerCougar,13,193
aaronmatthew762,3,183
birajmk,11,46
PoeskieA,657,139
BrooksKricket,0,0
alixsharkey,17828,1989
jackievc09,2,5
Holar_Yhemmie,4766,549
ANNJONE13251305,370,5
avery_patsfan,22133,167
mkrhawes,4,7
chameleon1105,1,0
CounselorLadyMJ,24,11
JacekGorka,119,27
CollegeVizzy,62,105
JoeEspinal3,0,4
RegularOctagon,37,36
syd4631,6309,146
calebridgwater,4512,307
s_ayeshaali,117,18
Professor_Tong,2669,1323
ER69277202,0,0
ABABPAK1,265,113
fallatahsafaa,352,133
najati01,1037,156
chouwaiking,12,12
ellad_bball,181,171
royast24,4706,756
mikemul02043016,0,0
rylanxo,20468,563
govindswaroopd,1871,201
Lisa_A_P,656,92
EllieHayesMO,138,87
neuroccino,2741,1266
AlyG3,3227,603
XuehuaiH,3,1
JSantel89,1233,188
simonbchen,4447,1705
Leahcouteranis,4,14
SoftballSpiders,1079,87
TextilesPak,12,8
SolisVerus,49,5
NacciaAvgTchr,4,10
crazymadden2121,58,25
D2Murphy16,1,21
thutch255,506,95
EmilyMTulloch,6,19
graetztj,0,7
vilapalet,749,144
aj_wright19,13,41
CanHayes99,325,77
Rui94661262,0,0
BiotechHealthMC,25,10
haydenhorn21,13,58
jdallenacamp,24909,32143
ChristianTRoge1,2,2
ClaireGarpestad,4,21
WustlT,2,2
AliciaDanielsU,1061,707
rajneesh_anand5,60,11
UniversityWsge,36,11
RibhiHamdouna,3198,80
KBuesteton,148,114
zhorve,129,114
gmatteoli1978,647,722
IanWrobel,496,125
coolschooltoday,7173,688
sassyscientist2,0,3
DominiqueRichi4,479,348
lgregory042,60,3
RichardStivensm,390,66
TLSM_1115,7,10
De_Mi_Mitchell,32,72
Faisal_Wichita,145,355
CofactorGenomic,529,768
Ting2li,44,202
GhoshSoumyendu,4,2
kgillmann,433,30
VoiceHeroAI,65,151
thenamesakshat,2,11
mediationmatter,144,132
lexihobelman,111,43
sairamg21997604,0,3
ofsadvocacy,27,22
claire_stiles,692,57
Mahwish_Syed90,1,13
su_senate,0,2
Jun65314903,0,0
JamesGarzaSACS,25,22
Jacky35844855,5,9
WhatsMy70499077,12,7
Stlhrrr,6182,318
NASPOG1,23,61
BlackMenInSW,247,303
EmilyWoodbury,2261,958
CarlosLaraGonz4,41,12
Daniel_R_Towers,0,0
E65P6BBJS5EWrA5,3,2
SPARTANPM25,15,18
Kevin_R_Rose,3,28
lizingleson,221,269
meigie_beuty,4,6
athiravasu,0,0
cjmagruder1,3426,288
owenscott2002,22,11
mgandari6,88,61
Siegel_60,54,156
JillYoungMiller,31,16
NoelShabu,0,0
misskatielane,950,179
brettadler,6194,990
ufoundmerrie,64,8
danielledpt_,16,33
shubhi1023,1845,61
zainClapacs,3,1
KMEarl,216,61
scianuei,0,3
SciMilo,380,435
MarilynBushBofA,14,71
bbrd3rd,0,3
carywoo,282,349
kyawzinthein86,13,94
StrathmanTricia,1,25
JoelKaul6,0,0
TrialAssure,578,205
Lucca55815364,0,0
terryliverar,361,132
Ivan24590917,6,1
llvn88,0,12
ezratemko,415,224
JoshSlavin,46,211
carrielburk,25,42
Karl37bunge,20,16
TinaPuckett18,32,6
RiyaBhuta,101,103
AnthonyHouseJr8,169,0
adam_cohan,0,5
MsDevencenzi,2312,808
RJLAyalaWilt,188770,6153
_Demerits,1373,186
MiaLynnHoward,970,531
nick_heff_20,702,312
PeteGDunne,3491,458
GTravisTabor,3,15
ZitongMD,52,24
kylekapaun_,587,133
michdschu,0,5
Rebeccaaiesec,0,0
shabanaharun15,12,0
martinMukongs,41,35
Lo_Mismo_,293,51
DragonflyBlue24,9232,629
jjsmots,30,65
gegan_miltmier,8,10
JoClevenger,1943,261
ntnch1776,7,14
KieriganM,466,223
ChrisColacchia,0,10
diatribecollege,5,0
DianeJacobs534,65,20
juanidinaro1,3187,150
ttkummer,9,62
LaurenSalliotte,16,6
Yogrange,4,6
deltaneighbour,398,96
EnjaMeda,721,184
Flora_1David,1,32
Chang56423011,1,4
amyjomurray,58,22
geetarair,26,37
HLong85519959,0,0
AnkitSh26230788,3792,29
IiserMohali,83,1082
JesusIsMyTSwift,10,1
jamyersecology,93,219
missmoo21768384,0,0
vsv512,218,1264
MatthewCrutch12,3,4
AllanLiao9063,468,60
sandragaveta,4574,334
wnowatzke,456,42
SaraTes18,18,9
Janet42816190,6,6
JosephFaithSam2,104,14
grace86423815,16,27
JFitzpatrickWU,45,108
SafeConnections,2680,892
oleksad,725,107
gr8society,3376,224
redmizzou,292,69
OwenCounts5,0,1
VinayV821,0,1
karen4quet,58,9
francis_huertap,119,17
BobbyJFK,1,1
Jaffyas,3,0
sircharleshill,47,11
Krolllab,5,96
BilliterRoss,0,0
karenkrukowski,125,63
mlov,6811,1361
Cassie_Boness,1959,585
AnnaJia2,0,0
Scott_Schroer_,0,38
TLRHub,10995,5586
amydmcevoy,1148,265
Eternitylll,1,6
CarsonRogge,0,3
laurendhh,0,1
kristen_kroll,0,2
ChristAhlmighty,1713,1281
MiriamJoelson,84,61
fattduffjones,3,12
NerySantosGomez,13,10
hoosiercancer,1416,504
NeryGom14723580,176,4
WadeLikesLife,170,34
Jokowidodo5161,12,14
Aryan87134441,3,0
ScienceSlamUSA,50,83
merritt001,616,120
WaterRK9,13,4
wang_qk,0,0
BrandWithSMS,11,13
melnattur,95,118
KarenSchwelle,17,19
hazen_jennie,10,31
GeneRegLab,49,26
MJMeister,1313,958
alliballi14000,16,28
ekuznick,0,15
Jeni42001,0,0
cdtulli,24,61
stadiaventures,1292,1465
ChristineRCZ,5,3
kh0mma,1,0
vanwuri,67,12
KalenDavison,5,6
quantumbrands,3833,403
CorinneRNSTL,16,15
gsmantube,3169,545
neuropalmd,19,558
RoyalBasketTrks,339,222
LuguLawsonKwame,1178,318
bogkimn,0,2
mqevans,15,5
tarekmd91,338,391
a_n_g_i_e_s,1,2
debord_rashaun,156,71
Jennannstan87,13,56
sidhujap14,77,205
RaqibNorth,1718,295
jessicakuppan,69,92
MsJB_Biology,92,12
prestonwillis10,402,125
ReuJackie,2,3
IrishEcho,9482,14225
ladytiamoyo,5041,973
joeyvetti,44,24
huskyandyasky,0,4
Thetemple_1,53,230
LeonardoISAST,2508,2548
LaserTalks,430,335
JenberlyM,30,1
onlyandrewn,5120,2307
Nesma_mt,70,77
babymatryoshka,80,17
StandforSec,1702,893
damage_cntrl,178,13
JamesLi58106930,0,1
hgilberstadt1,5,39
J_Greensfelder,172,15
chirishgirl77_o,5,6
Ass_linfa,422,173
Jesusdavila101,2,3
AndrewJWhite5,2,30
JackMaranz,4,1
LizHaefele,179,100
ArnavGu87909629,1,1
nateDaSkate45,241,39
SarahDowney13,334,45
