name,tweets,followers_count
GlobalComplexit,695,241
BedrosianCenter,11364,1453
NathanMicatka,7641,469
TessaProvins,145,390
ashkenaz89,8557,2960
rlshwom,1140,725
ejfagan,9383,580
SAGECQPolitics,15774,12097
ciera_hammond4,12346,837
NathanBarron,3,31
ylelkes,5553,3170
surgedays,80,301
brickaha,25,189
RedistrictNet,2938,1026
hernantello,902,438
MazdaFresno,19,36
ChaturvediNeil,1634,281
Shortle,684,609
OU_Ceel,23,33
BrandonThornRTR,172,63
electionstudies,319,2668
ShawnColinRead,31,210
MurielleSantan3,195,453
DanielMagleby,47,454
forwardwing_,2118,967
namontalvan,1231,323
NguyenLuce,4297,945
mrm32,166,160
lexisredding,500,107
SusanAchury,36,46
jncarroll,1320,734
DeTocqueville,61,38
MG_Macdonald,37,85
ProfKPearson,129,966
SeanGailmard,336,791
mcsardo,2031,488
blarsongburg,1362,303
jiwallner,17610,3627
PSfindings,817,121
subhan5454,355,87
bren_jame,10,85
Oj5y54ddOVXV8XL,1545,169
CastlePoliSci,163,198
FGawehns,18,12
HeatherSilberMo,3592,1285
emilyrut,1226,552
victorguedes,11491,5037
nicopitney,1837,20741
Narugopal20,100,403
DCInbox,6203,882
b_schaffner,7331,5760
Adrienne_WU,1729,3225
whitneymnz,876,214
AlexHilke,1043,536
sconvers,11951,402
NaciKarkin,3029,970
arsinoepi,2048,610
Solis_Rudyy,12,91
AgeofJacksonPod,2084,1730
VikramVashisht6,242,3016
UmassPOLSCI101,48517,371
vegaselviscrazy,10886,1906
DrTrochesset,1,24
shanegleasonPhD,682,346
NeneAnanaba,697,280
ColeKellu,0,6
adkinsjm,425,290
flwesya,754,152
gusrojasmatute,131349,16738
AFilindra,1373,768
ChrisPiper96,459,205
AcademicConnor,373,122
CenterMafad,1333,838
Vignesh_M_,283,439
jared_ellias,1706,1275
Patrick_J_Egan,533,4206
dandekadt,10801,2190
AndrewJDowdle,250,71
PabloHernandezB,22613,2189
ZingherPolisci,250,229
real_prof_baird,576,172
AaronRudroff,4053,36
AmandaMurdie,519,2182
UnlawfulEntries,14122,3499
saif_0557,603,115
zivjeli,8871,1965
grungy_hippie,745,115
InterpretivePo1,2075,334
rickyramon95,1167,67
BrianMStarks,111,54
4RTheodora,8470,187
cfattorewvu,6223,919
h_vaez,5312,5832
AuthorLRossi,44429,98669
sidney_b,3631,2309
UNTPADLaw,136,867
HollisBrusky,2336,1681
Katieclinton131,10,32
rebeccakreitzer,15582,3885
AngoNego,9,113
richardmarcj,23780,2775
malik2khalil,707,346
profwschiller,9022,3451
Sulayma87306197,41,16
thekinane,441,698
McKissickNathan,0,12
Abdulra43541197,252,11
howlettm,1072,1154
nomadic_kris,1646,327
Gabriel15298585,18,51
efranklinfowler,4268,1849
r_m_larochelle,847,275
joshua_paup,5816,120
43W_Initiative,17,591
PoliSciatNU,3997,1536
YongfeiYu,3,5
jessehumpal,74,43
Amanda_Grigg,4469,1729
JordanMcKissick,0,33
ntdPhD,5373,1005
KyleLSaunders,1460,1819
Solemnputty,254,20
MiguelMDuke,52,462
CoryManento,845,161
gabegnj,98,460
innocuousaccou1,0,82
Whaddddyagott,4210,309
dylanwgroves,1,165
rodhart99,13,47
paulettemoquer,6,2
LawrenceSocSci,2,36
UWiscPress,3318,4435
JacobNeiheisel,82,166
favstats,4059,2189
jyotira11452054,4,1
KalMunis,1220,415
MurhulaTolero,517,314
RegLWagner,563,160
ProfNHoward,12,114
KevinLynnCope,175,883
poliscigrl,13440,1798
RSI,44506,23097
asmasood,347,134
SandrineMarine4,5,78
MaryPhilip648,7,498
JaneLSumner,481,3143
MichaelNeblo,19,596
raugpott,225,638
MollyRe18797487,2,1
Kevlar007,5574,2718
JasonReifler,2041,2618
AjayVerghese,5238,2583
jongr1,455,415
EbonyDavis1987,265,145
bfred34,47949,1116
MJHeseltine,36,66
JackLechelt,899,312
yingcheng92,0,79
johnchampagne,0,42
WrayAJ,6334,1198
Aaron_Raden,10,169
DanielSparvero,3,0
LaDonna49408910,635,1
ShelbySteuart,52,32
Javon57205057,23,7
KarmaYogaBags,47,20
TurksGeorge,9,10
PortableYoung,2,0
Seegee17,2,0
LucyMcNamee3,0,1
BenJerryKeyWest,51,21
T73AzIpjI6X9IlN,1,0
Crystal96868582,45,3
courtneyjjohn,1,58
ruffin_alexus,0,5
NowhereRoad2,69,4
AshleyB31708687,28,4
Lovetta15448939,1,21
JonathanSpeigh5,2,1
BonnieFagley,0,0
Isaiah94060647,89,0
SaraHallFire,0,1
