name,tweets,followers_count
NelsonMandela,14987,1594869
WashUGenetics,2461,856
GoldfarbNursing,616,820
WUL4racialjusti,104,65
EducPlus,10248,4402
RelayForLifeWU,583,583
PHAnews,15820,37433
TCRWUSTL,237,278
WUSTLendo,552,341
JoshuaLFerguson,8406,1648
washudems,66,306
DowntownTREX,7327,9717
KatharinePei,66,112
scifri,49656,763770
ScholarBridge,526,242
verified,6,2739192
UQNorthAmerica,10474,2217
RoyBlunt,11798,106146
2000F,42,4239
LamarPierce1,668,880
pulitzercenter,34654,41031
ABSWashU,956,508
LafSqSTL,2047,5690
STLSoulard,2568,9047
healthequitywks,2783,2233
cherokeestreet,2084,3071
websteru,14929,14065
JackDevine_TAG,832,953
rawreader,782,667
MentalHealthSTL,6716,2912
MichelleAPurdy,2372,935
VirginiaYoung,9091,6643
WustlUPE,24,57
YourAnswerPlace,6754,3105
STLPartnership,11674,11625
WashU_SAAC,55,164
COCAstl,4310,6834
StevenHarowitz,6166,1034
OlinBSBA,613,417
studlifecadenza,372,66
WUCS40,77,185
amelungc,254,163
ACEducation,12526,34267
chronicle,39874,261225
Adrienne_WU,1728,3223
WUSTLPoliSci,143,373
bcporsche,3,44
BarnesJewish,4452,9465
snakeringstory,2215,1795
flystl,13393,17287
stlBlackRep,1804,2448
tarapham,7117,3017
wustl_bec,418,332
AccelerateSTL,4483,7791
StartupVoodoo,1103,1525
LiamOtten,446,235
Ccolaccola,471,521
WUSeniors2017,2,51
WU_DAC,39,156
ldinstl_chimera,13556,2358
UniversityCity,2414,1675
TammieHolland,24905,11539
IlliniAD,2080,32992
CityFacesSTL,158,128
MsPackyetti,93048,216132
Gail_WU,159,73
WashUVintage,12,28
SteveCase,54925,745999
doescience,8289,17987
WaymanCrow,250,45
perlberg,3612,20708
WGEWalri,130,55
gpc_wustl,368,325
WashU_Habif,939,441
HMilkFoundation,18317,15265
FilmEssaying,142867,1620
UnitedProvision,934,1762
stlouisearthday,6994,5506
dormify,15000,7321
American_Stroke,8839,17549
satispy,18371,3648
2Uinc,8693,8489
betaboxlearning,1258,1237
drhipp,6008,1881
DOTwustl,16,53
WUSTLRocketClub,1,19
rhodes_trust,7005,6592
townandstyle,4513,4152
NIH,12017,915330
ShalomHouseSTL,555,298
EliotGators,12,22
UCampusWustl,3,351
iitbombay,966,62003
feastmag,31329,52660
Tony_Balsamo,796,177
wustlOUTgrads,48,74
Schoology,23594,34516
SlingHealthSTL,559,748
nehaha_nair,333,153
davidu,8833,22227
physorg_com,113459,734571
ConnectMinds,7323,7595
laurameckler,3231,11234
DB_Dowd,2047,671
NSF,20711,1154469
Schultz44,10328,21148
frugalgeo,2010,485
johnfortner,568,634
NYCWUSTL,739,136
FuturityNews,22848,19890
davidhunn,7296,8113
PARCwustl,397,81
KavliFoundation,6227,9164
CrustyMucus,22453,785
FoxPACF,4281,962
thejessjiang,432,1039
PfPSTL,4001,1918
NewAmerica,34929,47080
thinkbigKC,18686,17005
RomeAlexander1,5921,65018
jrobmartin,2747,875
EPAregion7,5863,3793
1904worldsfair,1108,216
campuskitchens,24461,6305
JohnInazu,1898,3110
NicolasGrenier,104,10402
AstroBehnken,628,54795
ryanmartin,17848,6598
skmcginn,157,220
chrisfreeland,6384,1531
lamerrifield,11200,361
WUSM_BMB,634,160
sorope,21259,2259
czuppons,9668,2311
ThePigskinArch,48589,2385
BrittaneyBethea,1190,388
MackBradley,18821,1707
TonyLaRussa,2414,68430
venture4america,7814,17081
STLGlobalKids,3089,1033
jolijtt,944,402
WASHUSoftball,864,572
RACStLouis,2770,10058
downtownstlouis,13122,73863
FOCUSstl,8840,13350
STLonAir,31107,16182
ALIVE_Mag,20499,38815
umsl,10708,8068
TheMuslimGuy,10845,60505
STLMetro,27506,17655
GayleGeren,6568,744
WUSTLCompliment,1,43
HEC_TV,4688,2236
Peking_Uni,604,2616
madeforfreedom,7326,2178
SH101atWUSTL,862,81
dondroo,21991,377
SchulerScholar,2949,801
americanacad,5517,8856
pkollipara,6826,1470
golakers22,8378,461
_amita_,3416,4277
humgeek,4839,449
NOVISNYC,2192,728
_rachelhartman,24723,3753
HHayesPACS,1222,454
BetsyHCohen,17856,3459
TheDelmarLoop,9409,25634
wustlpremed,201,147
neilwashupa,507,297
WUProSPER,21,80
OlinPartners,47,26
RealTimeSTL,1964,1764
JulieHao,19,18
Corcoran314,14,174
OPFoodSearch,6848,4257
INCEESWUSTL,2533,418
WUSTLDC,198,62
Lewis_Lab,13918,2702
WashUAmateurs,337,261
WUIRboard,2,11
skyzone,6070,10483
PHILANTHROPYCCC,1322,276
josephstromberg,4220,4214
campuspride,22348,11425
KWUR,1815,1389
IslandPressSTL,150,131
WashUAshoka,327,102
WomensSocietyWU,32,123
Schlafly,25762,77841
wuchurn,19,14
WU_SLam,635,233
jessicarichman,2850,52905
StLouisAmerican,30415,16896
TheMuny,8685,19301
TedDrewes,1,2100
GatewayArchSTL,8727,9105
DANCE_STL,3958,3313
NPRMichel,13586,61201
SAEWashU,167,272
MissouriLife,1640,5015
FulbrightSchlrs,9071,28980
IRRT_WUSTL,343,46
connect4wu,186,61
wustl_reslife,506,991
MountVernon,14906,40516
AMCS_WU,750,467
WashU_PNP,105,57
fulbrightboard,4757,10468
SeanBiolCarroll,22,2760
WashUNews,35,164
AsafManela,468,245
LATeducation,6778,39209
CASEAdvance,12579,15422
HHMINEWS,9244,30246
WashUOUTLaw,214,204
globalhackHQ,2907,1733
WUFrontiers,56,47
JohnsHopkins,32747,82639
jessie_assimon,0,14
Julie_Flory,8209,1308
SparoHealth,323,506
ThurtenE,697,664
ArchGrants,4919,10102
MarsRovers,1071,488310
CortexSTL,5158,10796
NotreDame,15798,159517
KuumbaTV,483,217
studlifesports,4791,608
ThePageantSTL,15805,52684
HerCampusWashU,777,646
Do314,10562,9150
PsychScience,9335,64471
UnitedWaySTL,8070,10125
WUSTLTTC,1388,531
hootsuite,69148,7858097
itenstl,6093,5101
SaintLouCo,7469,11992
stl250,3170,3800
Techli,8249,9061
TheCooksCook,5143,1306242
JodiOkun,150517,70428
MosaicWhispers,398,208
McCaskillOffice,6461,16392
NASA,56905,32341320
Newsgram,22759,1701
wudm_,326,677
BernardMarr,32040,122607
WUSTLEngProfEd,598,168
AmirKurtovic,5177,2786
pomranka,6604,551
p_crowley,725,549
BlueberryHillMO,6831,10002
alexisohanian,67204,278091
noblejonesontv,28228,11269
handbuiltcity,4350,1082
kickstartforum,8462,29096
sarahstartups,5863,1347
lifmus,1355,254
MayorSlay,25316,69535
farmplicity,603,434
DrMerminCDC,15793,16742
davealevine,67201,7401
rabois,36740,174511
TheSuccessKing,27084,437326
NewYorker,97814,8700148
FastCompany,226325,2334594
sanmayd,840,172
NASA_Technology,4663,714286
theNASEM,17524,66412
rbpless,1256,767
mcbridetd,820,5480
jqjp1,2005,2627
CMitchell99,4476,1113
WUSTLEconAC,639,132
cphsswustl,503,346
LandLabSTL,376,552
washufootball,1721,2090
timrand,750,181
radioaltman,2867,3497
560MusicCenter,27,68
lgmccarthySTL,2811,548
GloriaParkBart,2303,292
WashU_WBB,1091,1427
WUSTLdbbs,3456,1433
ChiefExecBear,25844,7978
KroegerMail,176,131
UniofOxford,16422,535211
ChelseaClinton,12991,2519910
smithsonian,20915,2653541
ASU,31150,284114
USNewsEducation,54507,303299
SpottedAtWashU,793,1049
washuproblems,312,1536
sahilspatel,9301,499
gcolditz,1151,1039
susancohen_stl,19,89
Possibilizer,1652,537
Nick_Offerman,7089,1766188
HuffPostCollege,49390,128988
AMooreMcBride,376,731
CtrRelPol,2465,1929
ClintonGlobal,6510,283331
DrLeanaWen,21491,74659
WhitewaterAtty,7753,3551
WUSTLemba,159,777
OrgStratProf,1445,2664
tadawes,12304,3363
LToddLibrarian,5755,383
GenomeInstitute,3156,18780
WUArch,133,113
joechambers,569,405
SuperTigerLDB,1050,409
pannill,18,596
wupad,612,545
WUSTL_Summer,191,115
WUSTLPeds,113,213
YSPwustl,802,536
BearBucksWUSTL,2602,322
WASHUSwim,906,561
WUSTLortho,1192,1866
WustlSAAP,39,50
WUSTLpubhealth,4982,2050
OlinWCC,1532,1074
WUSTLGlobalHlth,18,63
ajreeves,149,1382
Lab_1500,2447,3041
WASHUVolleyball,1044,543
slso,9789,37303
STLScienceCtr,8943,24640
timeshighered,100913,289391
sjmalter,1735,657
csdwustl,1882,944
wildrob12,215,274
InnovateSTL,1649,2281
insidehighered,31268,233615
mohistorymuseum,10965,25075
womeninhighered,13706,41370
WUSTLSPB,630,806
mobotgarden,10995,46202
WUSTLJobs,151,299
wustl_pt,1910,2060
AAUniversities,14272,13313
stlzoo,4754,82075
instagram,12573,36462959
VineCreators,3660,14268455
Cardinals,65319,1230439
